,대체감미료,장점,부작용
1,아스파탐,혈당 수치에 영향x  구강에서 대사되지 않아 구강 건강에 영향x,페닐케톤뇨증 환자가 페닐알라닌이 함유된 아스파탐 섭취 시 경련  발달장애 유발 가능
2,수크랄로스,식품의 안정성 평가,장내 유익균의 숫자를 감소시키는 특징이 있어 항암제를 처방받고 있는 암환자는 주의
3,알룰로스,사용량 제한없음  혈당수치 안정  간 건강  항산화 효능  소염 또는 항염 효능,과량 섭취 시 소화장애  복부팽만 등의 소화 관련 부작용 유발
4,에리스리톨,혈당 수치에 영향x  구강에서 대사되지 않아 구강 건강에 영향x,과량 섭취 시 복통  설사  복부팽만  가스  알러지 반응 등의 문제
5,아세설팜칼륨,체내에 대사되지 않아 칼로리가 없음. 구강에서 대사되지 않아 구강 건강에 영향x,갑상선 손상  뇌 기능의 변화가 있을 수 있음
6,D-소르비톨액,구강에서 대사되지 않아 구강 건강에 영향x  변비 개선,과량 섭취 시 혈당에 영향을 미칠 수 있음. 위경련  복통  메스꺼움  설사 유발
7,효소처리스테비아,저혈압에 도움  신장 손상 예방,일부 스테비아 속 화학물질은 구역질  구토  팽만감  설사 유발
8,말티톨,구강에서 대사되지 않아 구강 건강에 영향x  변비 개선,과량 섭취 시 혈당에 영향을 미칠 수 있음. 위경련  복통  메스꺼움  설사 유발
9,자일리톨,구강에서 대사되지 않아 구강 건강에 영향x  변비 개선,과량 섭취 시 혈당에 영향을 미칠 수 있음. 위경련  복통  메스꺼움  설사 유발
10,비정제원당,식이섬유 풍부  항산화 작용  콜레스테롤 수치 개선,두통  소화불량  불면증 유발  혈관이 얇아짐
11,폴리글리시톨 시럽,구강에서 대사되지 않아 구강 건강에 영향x  변비 개선,과량 섭취 시 혈당에 영향을 미칠 수 있음. 위경련  복통  메스꺼움  설사 유발
12,나한과 추출물,항산화  항암  항알레르기  항당뇨  식후 혈당 상승 억제,과량 섭취 시 복부 팽만감  설사  소화기 장애 유발
13,토마틴,심혈관계 질환 예방  혈담 감소,과량 섭취 시 두통 설사  복통  홍조  두근거림  안면 부위 따끔거림
14,스테비올배당체,항염증 및 항종양 촉진,위장장애  근육통  손발저림  알러지  호르몬 장애  저혈당
15,당알콜,구강에서 대사되지 않아 구강 건강에 영향x  변비 개선,과량 섭취 시 혈당에 영향을 미칠 수 있음. 위경련  복통  메스꺼움  설사 유발
